date,performance,accessibility,best_practices,seo
2026-03-15,48.9,92.28,84.91,89.81
2026-03-16,53.56,91.33,84.29,89.34
2026-03-17,54.43,91.29,84.55,88.76
2026-03-18,55.32,92.66,85.4,88.87
2026-03-19,54.03,92.8,85.22,89.36
2026-03-20,52.98,92.26,83.92,88.31
2026-03-21,52.97,92.3,84.07,88.31
2026-03-22,53.85,92.74,84.42,89.41
2026-03-23,54.25,91.46,83.88,87.9
2026-03-24,56.7,92.33,84.19,89.5
2026-03-25,56.56,92.48,84.39,89.67
2026-03-26,54.26,91.49,83.8,88.58
2026-03-27,53.41,91.79,83.91,88.94
2026-03-28,51.38,91.67,83.83,89.49
2026-03-29,53.32,92,84.42,89.91
2026-03-30,52.67,91.57,84.44,89.46
2026-03-31,53.8,91.93,83.64,89.54
2026-04-01,53.35,91.51,84.14,89.44
2026-04-02,52.67,91.53,83.64,89.38
2026-04-03,55.38,91.91,84.66,88.96
2026-04-04,52.91,92.26,84.58,90.19
2026-04-05,53.38,92.15,84.2,89.39
2026-04-06,52.46,91.31,84.58,89.51
2026-04-07,54.16,91.52,84.14,88.99
2026-04-08,51.36,91.68,83.34,90
2026-04-09,52.26,92.24,84.46,88.74
2026-04-10,53.28,92.22,84.88,89.23
2026-04-11,53.23,92.19,84.91,89.56
2026-04-12,52.87,92.44,85.16,89.46
2026-04-13,51.67,90.98,84.64,89.28
2026-04-14,0,0,0,0
